Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-September-2021,15.25,15.51,14.52,14.86,15.150571892747285674,854356,2106,12943982.00,489285,57.27,0.99,-0.39
15-September-2021,14.75,14.78,14.30,14.78,14.754213349877741688,137005,405,2021401.00,127570,93.11,0.48,0.03
14-September-2021,14.07,14.08,13.98,14.08,14.074857603496006533,188558,314,2653927.00,150924,80.04,0.10,0.01
13-September-2021,13.30,13.41,12.90,13.41,13.315309603598707846,165615,455,2205215.00,113532,68.55,0.51,0.11
9-September-2021,12.95,12.95,12.67,12.78,12.773090586145648312,72064,370,920480.00,36469,50.61,0.28,-0.17
8-September-2021,13.20,13.20,12.61,12.67,12.725002060835875030,36393,247,463101.00,22906,62.94,0.59,-0.53
7-September-2021,12.51,12.97,12.51,12.86,12.825473149715340821,155976,524,2000466.00,83204,53.34,0.46,0.35
6-September-2021,12.93,13.00,12.29,12.40,12.432701736388733839,265148,853,3296506.00,161587,60.94,0.71,-0.53
3-September-2021,13.15,13.15,12.85,12.93,12.926813168093352071,93924,458,1214138.00,56995,60.68,0.30,-0.22
2-September-2021,13.21,13.21,12.85,13.01,13.001791886483536474,109940,472,1429417.00,67109,61.04,0.36,-0.20
1-September-2021,13.00,13.19,12.81,12.87,12.988680844698197412,40109,220,520963.00,27923,69.62,0.38,-0.13
31-August-2021,13.25,13.30,12.80,12.95,12.983542350139990848,128937,499,1674059.00,89137,69.13,0.50,-0.30
30-August-2021,13.10,13.15,12.65,13.15,12.987519709870703248,126840,553,1647337.00,87887,69.29,0.50,0.05
27-August-2021,12.85,12.90,12.50,12.55,12.634368549669031293,42149,234,532526.00,25236,59.87,0.40,-0.30
26-August-2021,13.20,13.25,12.40,12.65,12.735664350434029611,94694,484,1205991.00,57603,60.83,0.85,-0.55
25-August-2021,12.75,12.85,12.30,12.85,12.744061928478588435,86939,456,1107956.00,61673,70.94,0.55,0.10
24-August-2021,12.25,12.55,11.85,12.25,12.075899148199010869,111411,433,1345388.00,77655,69.70,0.70,0.00
23-August-2021,13.25,13.25,12.25,12.25,12.327131800186824429,89924,319,1108505.00,78766,87.59,1.00,-1.00
20-August-2021,12.75,13.35,12.75,12.85,13.057722450173808246,143549,602,1874423.00,109840,76.52,0.60,0.10
18-August-2021,12.15,12.75,12.15,12.75,12.665213666947595296,144758,505,1833391.00,109698,75.78,0.60,0.60
17-August-2021,12.45,12.55,12.05,12.15,12.196202832656400110,105131,386,1282199.00,71020,67.55,0.50,-0.30
16-August-2021,13.80,13.80,12.65,12.65,12.797453982068248046,178789,553,2288044.00,123664,69.17,1.15,-1.15
13-August-2021,13.65,14.05,13.10,13.30,13.600668750454314167,137570,863,1871044.00,94187,68.46,0.95,-0.35
12-August-2021,12.60,13.65,12.45,13.65,13.134691244599956995,255785,1042,3359657.00,150255,58.74,1.20,1.05
11-August-2021,13.65,13.75,13.00,13.00,13.102992781565639718,149894,680,1964060.00,94991,63.37,0.75,-0.65
10-August-2021,14.15,14.30,13.65,13.65,13.861731514307701204,224809,969,3116242.00,181695,80.82,0.65,-0.50
9-August-2021,14.65,14.85,14.15,14.35,14.766269352833036429,316039,1355,4666717.00,169357,53.59,0.70,-0.30
6-August-2021,14.05,14.60,14.00,14.15,14.176224969591343971,110166,697,1561738.00,79128,71.83,0.60,0.10
5-August-2021,15.25,15.25,14.25,14.40,14.474134983896216060,111154,661,1608858.00,78407,70.54,1.00,-0.85
4-August-2021,15.55,15.75,14.80,14.95,15.217589819000417551,110166,796,1676461.00,79356,72.03,0.95,-0.60
3-August-2021,15.70,15.75,15.10,15.50,15.542530660493523124,40606,450,631120.00,22266,54.83,0.65,-0.20
2-August-2021,15.70,15.95,15.30,15.40,15.615994706956332389,119402,720,1864581.00,95202,79.73,0.65,-0.30
30-July-2021,15.30,16.10,15.30,15.70,15.876878285483218762,123650,805,1963176.00,72029,58.25,0.80,0.40
29-July-2021,15.75,15.95,15.40,15.55,15.703496415545214438,111314,674,1748019.00,62509,56.16,0.55,-0.20
28-July-2021,16.30,16.30,15.40,15.75,15.826048005045618410,139527,700,2208161.00,88497,63.43,0.90,-0.55
27-July-2021,15.15,15.55,14.90,15.55,15.446644430250987628,126819,367,1958928.00,95753,75.50,0.65,0.40
26-July-2021,15.65,15.65,14.70,14.85,14.985522224170226901,108373,549,1624026.00,57211,52.79,0.95,-0.80
23-July-2021,16.20,16.20,15.30,15.35,15.605075189715867398,107661,582,1680058.00,64752,60.14,0.90,-0.85
22-July-2021,16.00,16.30,15.55,15.85,15.938639428334802136,188362,628,3002234.00,111077,58.97,0.75,-0.15
20-July-2021,16.80,16.80,15.65,15.70,15.859229180577338157,128798,676,2042637.00,67968,52.77,1.15,-1.10
19-July-2021,16.80,16.95,16.35,16.45,16.596698931172557303,190302,945,3158385.00,135582,71.25,0.60,-0.35
16-July-2021,16.95,17.40,16.45,16.85,16.901548666947719157,196879,878,3327560.00,99805,50.69,0.95,-0.10
15-July-2021,16.80,17.00,16.55,16.60,16.738841165038710126,157969,756,2644218.00,123066,77.91,0.45,-0.20
14-July-2021,16.95,17.45,16.45,16.75,17.159306767473345993,678791,1076,11647583.00,462250,68.10,1.00,-0.20
13-July-2021,17.10,17.10,16.55,16.65,16.720535865694420891,88455,443,1479015.00,58338,65.95,0.55,-0.45
